宿名,URL,優先オプション
草津温泉 源泉・大日の湯 極楽館,https://www.jalan.net/yad355776/,care-kakenagashi
那智勝浦　一の滝,https://www.jalan.net/yad390486/,
秋田協和温泉湯元四郎,https://www.jalan.net/yad350574/,
新樺川観光ホテル,https://www.jalan.net/yad386576/,
海鮮と温泉宿 海のうた,https://www.jalan.net/yad304842/,
クラウンヒルズ大分,https://www.jalan.net/yad305712/,
坂井温泉 湯本館,https://www.jalan.net/yad382402/,
岩手 須川高原温泉,https://www.jalan.net/yad383074/,
桜田温泉 山芳園,https://www.jalan.net/yad392908/,
国民宿舎鷹巣荘,https://www.jalan.net/yad318500/,
霊泉寺中屋旅館,https://www.jalan.net/yad385932/,
那覇 瀬長島ホテル,https://www.jalan.net/yad352977/,
